MS,MS Name,CCI,Title,Fund,Objective,Initially planned EU amount,De-commitments (n+2/n+3),De-commitments at closure,Net planned EU amount,Cumulative pre-financing,Cumulative recovery of pre-financing (at closure),Cumulative net pre-financing,Cumulative interim payments,Cumulative recovery of expenses (at closure),Cumulative net interim payments,Closure payments,Total closure recoveries,Total net payments,EU payment rate compared to initial planned EU amount
DE,Germany,2007DE06RPO018,Plan zur Entwicklung des Ländlichen Raums im Saarland,EAFRD,,"31,190,646.00",0,"482,617.67","30,708,028.33","2,183,345.22",0,"2,183,345.22","27,447,768.46",0,"27,447,768.46","1,076,914.65",0,"30,708,028.33",98.45
ES,España,2007ES162PO004,Programa Operativo FEDER de Madrid,ERDF,Regional Competitiveness and Employment,"336,953,127.00",0,0,"336,953,127.00","25,271,484.53",0,"25,271,484.53","270,805,526.52",0,"270,805,526.52","40,876,115.95",0,"336,953,127.00",100
PT,Portugal,2007PT161PO004,PO Regional do Alentejo 2007-2013,ERDF,Convergence,"853,933,978.00",0,0,"853,933,978.00","65,170,048.35",0,"65,170,048.35","746,067,230.75",0,"746,067,230.75","42,696,698.90",0,"853,933,978.00",100
UK,United Kingdom,2007UK162PO010,East Midlands England ERDF Regional Competitiveness and Employment programme,ERDF,Regional Competitiveness and Employment,"268,495,983.00","2,605,120.00",0,"265,890,863.00","20,137,198.73",0,"20,137,198.73","232,459,121.12",0,"232,459,121.12","13,294,543.15",0,"265,890,863.00",99.03
GR,Ellada,2007GR161PO004,Ενίσχυση της Προσπελασιμότητας,ERDF,Convergence,"1,963,000,000.00",0,0,"1,963,000,000.00","118,725,000.00",0,"118,725,000.00","1,844,275,000.00",0,"1,844,275,000.00",0,0,"1,963,000,000.00",100
HU,Magyarország,2007HU161PO006,Operational Programme for North Hungary,ERDF,Convergence,"903,723,589.00",0,0,"903,723,589.00","81,335,123.01",0,"81,335,123.01","777,202,286.54",0,"777,202,286.54","45,186,179.45",0,"903,723,589.00",100
ES,España,2007ES052PO006,PO FSE CANTABRIA,ESF,Regional Competitiveness and Employment,"12,684,118.00",0,0,"12,684,118.00","951,308.85",0,"951,308.85","11,098,603.25",0,"11,098,603.25","634,205.90",0,"12,684,118.00",100
CB,EU cross-border cooperation,2007CB163PO025,OP Česká republika - Polsko,ERDF,European Territorial Cooperation,"219,459,344.00",0,"8,422,794.60","211,036,549.40","19,751,340.96",0,"19,751,340.96","188,735,035.84",0,"188,735,035.84","2,550,172.60",0,"211,036,549.40",96.16
ES,España,2007ES052PO008,PO FSE MADRID,ESF,Regional Competitiveness and Employment,"224,246,435.89","43,150,417.89",0,"181,096,018.00","19,267,726.43",0,"19,267,726.43","152,773,490.67",0,"152,773,490.67","9,054,800.01",0,"181,096,017.11",80.76
RO,România,2007RO161PO003,Sectoral Operational Programme Transport,CF,Convergence,"3,276,605,085.00","30,206,848.00","510,336,773.35","2,736,061,463.65","409,575,635.62",0,"409,575,635.62","2,326,485,828.03",0,"2,326,485,828.03",0,0,"2,736,061,463.65",83.5
DE,Deutschland,2007DE052PO006,Operationelles Programm ESF Hessen 2007-2013,ESF,Regional Competitiveness and Employment,"186,735,204.00",0,0,"186,735,204.00","14,005,140.30",0,"14,005,140.30","163,393,303.50",0,"163,393,303.50","9,336,760.20",0,"186,735,204.00",100
ES,Spain,2007ES06RPO008,PDR de Castilla-y-Leon,EAFRD,,"849,045,517.00",0,"289,186.36","848,756,330.64","58,902,457.46",0,"58,902,457.46","747,690,783.69",0,"747,690,783.69","42,163,089.49",0,"848,756,330.64",99.97
PT,Portugal,2007PT161PO001,PO Factores de Competitividade 2007-2013,ERDF,Convergence,"3,173,789,011.00",0,0,"3,173,789,011.00","232,784,175.83",0,"232,784,175.83","2,782,315,384.62",0,"2,782,315,384.62","158,689,450.55",0,"3,173,789,011.00",100
CB,EU cross-border cooperation,2007CB163PO059,Πρόγραμμα Ευρωπαϊκής Εδαφικής Συνεργασίας Ελλάδα – Βουλγαρία,ERDF,European Territorial Cooperation,"117,887,607.00",0,0,"117,887,607.00","9,966,236.22",0,"9,966,236.22","102,026,990.43",0,"102,026,990.43","5,894,380.35",0,"117,887,607.00",100
HU,Magyarország,2007HU161PO010,Operational Programme for Implementation,CF,Convergence,"330,311,509.00",0,"16,515,575.45","313,795,933.55","39,391,617.13","11,584,064.99","27,807,552.14","274,404,316.42","32,627,656.25","241,776,660.17",0,"44,211,721.24","269,584,212.31",81.62
CZ,Ceska Republika,2007CZ161PO005,ROP NUTS II Severovýchod,ERDF,Convergence,"671,291,163.00",0,0,"671,291,163.00","59,081,184.54",0,"59,081,184.54","578,645,420.31",0,"578,645,420.31","33,564,558.15",0,"671,291,163.00",100
CB,EU cross-border cooperation,2007CB163PO045,Programme opérationnel CTE MED - Méditerranée,ERDF,European Territorial Cooperation,"193,751,331.00",0,"9,687,566.55","184,063,764.45","17,555,219.79","2,426,853.98","15,128,365.81","166,508,544.66",0,"166,508,544.66",0,"2,426,853.98","181,636,910.47",93.75
CB,EU cross-border cooperation,2007CB163PO010,Operational Programme Objective European Territorial Cooperation Austria - Hungary 2007-2013,ERDF,European Territorial Cooperation,"82,280,309.00",0,0,"82,280,309.00","7,405,227.81",0,"7,405,227.81","70,761,065.74",0,"70,761,065.74","4,114,015.45",0,"82,280,309.00",100
FR,France,2007FR162PO003,Programme opérationnel FEDER ALSACE,ERDF,Regional Competitiveness and Employment,"75,924,973.00",0,0,"75,924,973.00","5,694,372.98",0,"5,694,372.98","66,434,351.37",0,"66,434,351.37","3,796,248.65",0,"75,924,973.00",100
FR,France,2007FR162PO013,Programme opérationnel FEDER LANGUEDOC-ROUSSILLON,ERDF,Regional Competitiveness and Employment,"270,420,027.00",0,0,"270,420,027.00","20,281,502.03",0,"20,281,502.03","236,617,523.62",0,"236,617,523.62","13,521,001.35",0,"270,420,027.00",100
HU,Magyarország,2007HU161PO001,Economic Development Operational Programme,ERDF,Convergence,"2,858,823,730.00",0,0,"2,858,823,730.00","224,619,220.35",0,"224,619,220.35","2,491,263,323.15",0,"2,491,263,323.15","142,941,186.50",0,"2,858,823,730.00",100
CB,EU cross-border cooperation,2007CB163PO040,Interreg IV A programme de cooperation transfrontaliere France (Manche) - Angleterre 2007-2013,ERDF,European Territorial Cooperation,"173,455,846.00","13,053,830.00","8,020,100.80","152,381,915.20","13,009,188.45","4,834,732.71","8,174,455.74","139,372,726.75","720,235.90","138,652,490.85",0,"5,554,968.61","146,826,946.59",84.65
ES,Spain,2007ES06RPO001,PDR de Andalucia,EAFRD,,"2,117,805,547.96","38,500,258.96","103,965,264.50","1,975,340,024.50","146,864,412.31","12,190,439.15","134,673,973.16","1,828,475,612.23","3,427,700.18","1,825,047,912.05",0,"15,618,139.33","1,959,721,885.21",92.54
PT,Portugal,2007PT06RPO002,Continente,EAFRD,,"3,573,777,378.00",0,"18,694,430.45","3,555,082,947.55","250,164,416.46",0,"250,164,416.46","3,144,924,092.64",0,"3,144,924,092.64","159,994,438.45",0,"3,555,082,947.55",99.48
PL,Polska,2007PL161PO016,Regionalny Program Operacyjny Województwa Zachodniopomorskiego na lata 2007-2013,ERDF,Convergence,"862,807,404.00",0,0,"862,807,404.00","75,189,356.91",0,"75,189,356.91","744,477,676.89",0,"744,477,676.89","43,140,370.20",0,"862,807,404.00",100
DE,Deutschland,2007DE052PO003,Operationelles Programm ESF Berlin 2007-2013,ESF,Regional Competitiveness and Employment,"335,976,031.00",0,0,"335,976,031.00","25,198,202.33",0,"25,198,202.33","293,979,027.12",0,"293,979,027.12","16,798,801.55",0,"335,976,031.00",100
GR,Ellada,2007GR05UPO001,Ανάπτυξη Ανθρώπινου Δυναμικού,ESF,Regional Competitiveness and Employment,"68,794,293.00",0,0,"68,794,293.00","5,159,571.98",0,"5,159,571.98","63,634,721.02",0,"63,634,721.02",0,0,"68,794,293.00",100
IE,Ireland,2007IE052PO001,Human Capital Investment Operational Programme,ESF,Regional Competitiveness and Employment,"375,362,370.00",0,0,"375,362,370.00","28,152,177.75",0,"28,152,177.75","328,442,073.75",0,"328,442,073.75","18,768,118.50",0,"375,362,370.00",100
FR,France,2007FR162PO016,Programme opérationnel FEDER PAYS DE LA LOIRE,ERDF,Regional Competitiveness and Employment,"302,234,812.00",0,0,"302,234,812.00","22,667,610.90",0,"22,667,610.90","264,455,460.50",0,"264,455,460.50","15,111,740.60",0,"302,234,812.00",100
ES,Spain,2007ES06RPO009,PDR Cataluña,EAFRD,,"313,984,457.00",0,"26,773.10","313,957,683.90","21,778,587.88",0,"21,778,587.88","276,506,646.27",0,"276,506,646.27","15,649,113.35",0,"313,934,347.50",99.98
CZ,Ceska Republika,2007CZ161PO008,ROP NUTS II Severozápad,ERDF,Convergence,"762,765,901.00","54,638,421.00","39,059,865.72","669,067,614.28","67,131,991.89",0,"67,131,991.89","493,741,860.14",0,"493,741,860.14",0,0,"560,873,852.03",73.53
CB,EU cross-border cooperation,2007CB163PO007,Programa Operativo FEDER Cooperación Transnacional Madeira-Azores-Canarias,ERDF,European Territorial Cooperation,"55,394,099.00",0,"2,769,704.95","52,624,394.05","4,154,557.43","29,435.24","4,125,122.19","48,469,836.62",0,"48,469,836.62",0,"29,435.24","52,594,958.81",94.95
ES,España,2007ES162PO007,Programa Operativo FEDER de Baleares,ERDF,Regional Competitiveness and Employment,"107,196,565.00","4,520,527.00",0,"102,676,038.00","8,039,742.38",0,"8,039,742.38","82,948,211.89",0,"82,948,211.89","11,688,083.73",0,"102,676,038.00",95.78
DE,Deutschland,2007DE051PO005,Operationelles Programm ESF Sachsen-Anhalt 2007-2013,ESF,Convergence,"643,930,752.38","23,010,808.38","30,754,414.37","590,165,529.63","48,294,806.40","36,840,216.90","11,454,589.50","541,579,140.40",0,"541,579,140.40",0,"36,840,216.90","553,033,729.90",85.88
DE,Deutschland,2007DE052PO001,Operationelles Programm ESF Baden-Württemberg 2007-2013,ESF,Regional Competitiveness and Employment,"265,998,586.00",0,0,"265,998,586.00","19,949,893.95",0,"19,949,893.95","232,748,762.75",0,"232,748,762.75","13,299,929.30",0,"265,998,586.00",100
CB,EU cross-border cooperation,2007CB163PO053,Operational Programme Slovenia-Hungary 2007-2013,ERDF,European Territorial Cooperation,"29,279,283.00",0,"1,463,964.15","27,815,318.85","2,635,135.47","693,916.24","1,941,219.23","25,180,183.38","61,592.80","25,118,590.58",0,"755,509.04","27,059,809.81",92.42
DE,Deutschland,2007DE162PO009,Operationelles Programm EFRE Hamburg 2007-2013,ERDF,Regional Competitiveness and Employment,"35,268,790.34","647,820.34",0.66,"34,620,969.34","2,645,159.33",0,"2,645,159.33","30,118,476.43",0,"30,118,476.43","1,857,334.24",0,"34,620,970.00",98.16
DE,Deutschland,2007DE161PO005,Operationelles Programm Verkehr EFRE Bund 2007-2013,ERDF,Convergence,"1,520,319,639.00",0,0,"1,520,319,639.00","114,023,972.93",0,"114,023,972.93","1,330,279,684.12",0,"1,330,279,684.12","76,015,981.95",0,"1,520,319,639.00",100
PT,Portugal,2007PT05UPO001,PO Potencial Humano 2007-2013,ESF,Convergence,"6,272,406,787.00",0,0,"6,272,406,787.00","445,295,162.18",0,"445,295,162.18","5,531,560,130.74",0,"5,531,560,130.74","295,551,494.08",0,"6,272,406,787.00",100
PL,Polska,2007PL161PO009,Regionalny Program Operacyjny Województwa Łódzkiego na lata 2007-2013,ERDF,Convergence,"1,046,023,918.00",0,0,"1,046,023,918.00","90,574,281.90",0,"90,574,281.90","903,148,440.20",0,"903,148,440.20","52,301,195.90",0,"1,046,023,918.00",100
ES,España,2007ES051PO008,PO FSE MELILLA,ESF,Convergence,"7,193,432.00",0,0,"7,193,432.00","539,507.40",0,"539,507.40","6,294,253.00",0,"6,294,253.00","359,671.60",0,"7,193,432.00",100
IT,Italia,2007IT161PO004,Pon Istruzione FESR - Ambienti per l'apprendimento. Proposta di variazione dei tassi di cofinanziamento tra assi.,ERDF,Convergence,"255,388,554.00",0,0,"255,388,554.00","18,574,118.63",0,"18,574,118.63","224,045,007.67",0,"224,045,007.67","12,510,751.71",0,"255,129,878.01",99.9
SK,Slovenska Republica,2007SK05UPO001,OP Vzdelávanie,ESF,Convergence,"540,499,999.70","15,361,467.70","26,319,408.96","498,819,123.04","54,000,000.00",0,"54,000,000.00","444,819,123.34",0,"444,819,123.34",0,0,"498,819,123.34",92.29
DE,Deutschland,2007DE14FPO001,Operationelles Programm EFF 2007-2013 Bundesrepublik Deutschland,EFF,Convergence,"96,861,240.00","7,985,639.00","4,969,333.23","83,906,267.77","13,560,573.60","9,986,523.26","3,574,050.34","70,345,694.17",0,"70,345,694.17",0,"9,986,523.26","73,919,744.51",76.32
GR,Ellada,2007GR05UPO002,Εκπαίδευση και Δια Βίου Μάθηση,ESF,Regional Competitiveness and Employment,"43,833,532.00",0,0,"43,833,532.00","3,287,514.90",0,"3,287,514.90","40,546,017.10",0,"40,546,017.10",0,0,"43,833,532.00",100
DK,Danmark,2007DK14FPO001,The Danish Operational Programme for Fisheries and Aquaculture 2007-2013,EFF,Non Convergence,"133,675,169.00",0,"6,683,758.45","126,991,410.55","18,714,523.66","4,594,192.04","14,120,331.62","108,276,886.89",0,"108,276,886.89",0,"4,594,192.04","122,397,218.51",91.56
CB,EU cross-border cooperation,2007CB163PO068,Hungary-Slovakia Cross-border Co-operation Programme 2007-2013,ERDF,European Territorial Cooperation,"176,496,479.00",0,"7,821,944.83","168,674,534.17","15,884,683.11",0,"15,884,683.11","151,786,971.94",833,"151,786,138.94","1,002,879.12",833,"168,673,701.17",95.57
IT,Italia,2007IT052PO008,POR FSE - Regione Molise,ESF,Regional Competitiveness and Employment,"37,665,371.00",0,"555,245.31","37,110,125.69","2,824,902.83",0,"2,824,902.83","32,957,199.62",0,"32,957,199.62","1,328,023.24",0,"37,110,125.69",98.53
FR,France,2007FR06RPO001,Programme de développement rural pour la France - Hexagone - 2007-2013,EAFRD,,"6,838,803,109.00","2,653,237.00","177,817,634.43","6,658,332,237.57","478,782,491.04",0,"478,782,491.04","6,015,559,887.36",0,"6,015,559,887.36","160,466,900.98",0,"6,654,809,279.38",97.31
IT,Italia,2007IT052PO014,Programma Operativo Occupazione 2007-2013,ESF,Regional Competitiveness and Employment,"32,139,162.00",0,"61,388.92","32,077,773.08","2,468,365.80",0,"2,468,365.80","28,063,838.10",0,"28,063,838.10","1,545,569.18",0,"32,077,773.08",99.81
IT,Italy,2007IT06RPO007,Lombardia - programma di sviluppo rurale - 2007-2013,EAFRD,,"471,110,000.00",0,"1,028,818.81","470,081,181.19","32,977,700.00",0,"32,977,700.00","414,576,800.00",0,"414,576,800.00","22,526,681.19",0,"470,081,181.19",99.78
CB,EU cross-border cooperation,2007CB163PO044,Programme opérationnel CTE ENO - Nord Ouest Européen,ERDF,European Territorial Cooperation,"355,443,293.00",0,"8,708,228.65","346,735,064.35","26,658,246.98",0,"26,658,246.98","311,012,881.37",0,"311,012,881.37","9,063,936.00",0,"346,735,064.35",97.55
IT,Italy,2007IT06RPO014,Programma di Sviluppo Rurale per il Veneto 2007-2013,EAFRD,,"478,155,000.00",0,"53,061.10","478,101,938.90","33,737,550.00",0,"33,737,550.00","420,509,700.00",0,"420,509,700.00","23,854,688.90",0,"478,101,938.90",99.99
RO,România,2007RO14FPO001,"Operational Programme for Fisheries, Romania",EFF,Convergence,"230,714,207.00","52,441,092.00",0,"178,273,115.00","32,299,988.49",0,"32,299,988.49","137,059,470.76",0,"137,059,470.76",0,0,"169,359,459.25",73.41
IT,Italia,2007IT051PO001,PO Campania FSE,ESF,Convergence,"559,000,000.00",0,0,"559,000,000.00","41,925,000.00",0,"41,925,000.00","489,125,000.00",0,"489,125,000.00","27,950,000.00",0,"559,000,000.00",100
ES,España,2007ES161PO009,Programa Operativo Fondo de Cohesión-FEDER,ERDF,Convergence,"1,356,951,334.00",0,0,"1,356,951,334.00","101,771,350.05",0,"101,771,350.05","1,187,332,417.25",0,"1,187,332,417.25","67,847,566.70",0,"1,356,951,334.00",100
EE,Eesti,2007EE161PO001,Operational Programme for the Development of Economic Environment,CF,Convergence,"525,397,290.00",0,0,"525,397,290.00","65,674,661.25",0,"65,674,661.25","433,452,764.25",0,"433,452,764.25","26,269,864.50",0,"525,397,290.00",100
BG,Balgarija,2007BG161PO002,Operational Programme Technical Asssitance,ERDF,Convergence,"48,296,513.00","1,836,827.00",0,"46,459,686.00","4,346,686.17",0,"4,346,686.17","39,790,015.53",0,"39,790,015.53","2,322,984.30",0,"46,459,686.00",96.2
PT,Portugal,2007PT06RPO001,Prorural,EAFRD,,"294,457,675.00",0,"8,299,259.25","286,158,415.75","20,612,037.25",0,"20,612,037.25","259,122,754.00",0,"259,122,754.00","6,423,624.50",0,"286,158,415.75",97.18
HU,Magyarország,2007HU05UPO002,Operational Programme for State Reform,ESF,Regional Competitiveness and Employment,"44,518,158.96","2,208,634.96",0,"42,309,524.00","5,677,104.16",0,"5,677,104.16","36,632,419.84",0,"36,632,419.84",0,0,"42,309,524.00",95.04
ES,Spain,2007ES06RAT001,RED RURAL NACIONAL,EAFRD,,"51,301,455.00","3,603,035.00",0.85,"47,698,419.15","8,794,324.90",0,"8,794,324.90","36,519,174.10",0,"36,519,174.10","2,384,920.15",0,"47,698,419.15",92.98
PL,Polska,2007PL051PO001,Program Operacyjny Kapitał Ludzki,ESF,Convergence,"10,007,397,937.00",0,0,"10,007,397,937.00","873,645,840.00",0,"873,645,840.00","8,633,382,200.15",0,"8,633,382,200.15","500,369,896.85",0,"10,007,397,937.00",100
ES,España,2007ES051PO005,PO FSE ANDALUCÍA,ESF,Convergence,"1,155,756,489.00",0,0,"1,155,756,489.00","86,681,736.68",0,"86,681,736.68","1,011,286,927.87",0,"1,011,286,927.87","57,787,824.45",0,"1,155,756,489.00",100
HU,Magyarország,2007HU161PO004,Operational Programme for South Great Plain,ERDF,Convergence,"748,714,608.00",0,0,"748,714,608.00","67,384,314.72",0,"67,384,314.72","643,894,562.88",0,"643,894,562.88","37,435,730.40",0,"748,714,608.00",100
UK,United Kingdom,2007UK05UPO001,"England and Gibraltar ESF Convergence, Competitiveness and Employment Programme",ESF,Convergence,"196,433,940.33","8,090,585.33","10,362,643.11","177,980,711.89","14,732,545.50","4,910,848.50","9,821,697.00","163,248,166.06","1,159,966.26","162,088,199.80",0,"6,070,814.76","171,909,896.80",87.52
CB,EU cross-border cooperation,2007CB163PO038,Programme des 2 mers,ERDF,European Territorial Cooperation,"167,000,183.00","1,780,516.00",0,"165,219,667.00","12,525,013.73",0,"12,525,013.73","144,433,669.92",0,"144,433,669.92","8,260,983.35",0,"165,219,667.00",98.93
IT,Italia,2007IT162PO014,Por Valle d'Aosta FESR - Seconda riprogrammazione,ERDF,Regional Competitiveness and Employment,"19,409,143.00",0,0,"19,409,143.00","1,464,318.38",0,"1,464,318.38","16,974,367.47",0,"16,974,367.47","970,457.15",0,"19,409,143.00",100
PL,Polska,2007PL161PO017,Regionalny Program Operacyjny Województwa Wielkopolskiego,ERDF,Convergence,"1,332,573,532.00",0,0,"1,332,573,532.00","114,551,337.96",0,"114,551,337.96","1,151,393,517.44",0,"1,151,393,517.44","66,628,676.60",0,"1,332,573,532.00",100
CB,EU cross-border cooperation,2007CB163PO019,Ziel 3-Programm zur grenzüberschreitenden Zusammenarbeit MV/BB - Polen,ERDF,European Territorial Cooperation,"132,812,670.00",0,"3,159,800.40","129,652,869.60","11,953,140.30",0,"11,953,140.30","114,218,896.20",0,"114,218,896.20","3,480,833.10",0,"129,652,869.60",97.62
AT,Österreich,2007AT162PO008,OP Tirol 2007-2013: Ziel Regionale Wettbewerbsfähigkeit & Beschäftigung / EFRE,ERDF,Regional Competitiveness and Employment,"34,772,988.00",0,0,"34,772,988.00","2,607,974.10",0,"2,607,974.10","30,426,364.50",0,"30,426,364.50","1,738,649.40",0,"34,772,988.00",100
BE,Belgique-België,2007BE052PO001,"Europäischer Sozialfonds 2007 - 2013, Deutschsprachige Gemeinschaft Belgiens",ESF,Regional Competitiveness and Employment,"12,470,000.00",0,"9,299.12","12,460,700.88","935,250.00",0,"935,250.00","10,911,250.00",0,"10,911,250.00","614,200.88",0,"12,460,700.88",99.93
UK,United Kingdom,2007UK052PO001,East Wales ESF Regional Competitiveness and Employment programme,ESF,Regional Competitiveness and Employment,"63,597,452.00",0,"265,076.23","63,332,375.77","4,769,808.90",0,"4,769,808.90","55,647,770.50",0,"55,647,770.50","2,914,796.37",0,"63,332,375.77",99.58
IT,Italy,2007IT06RPO008,Marche - Programma di Sviluppo rurale 2007 - 2013,EAFRD,,"217,609,000.00",0,"793,026.80","216,815,973.20","15,364,090.00",0,"15,364,090.00","191,364,460.00",0,"191,364,460.00","10,087,423.20",0,"216,815,973.20",99.64
CB,EU cross-border cooperation,2007CB163PO009,Ziel 3-Programm zur grenzübergreifenden Zusammenarbeit Freistaat Bayern-Tschechische Republik 2007-2013,ERDF,European Territorial Cooperation,"115,510,449.00",0,0,"115,510,449.00","10,395,940.41",0,"10,395,940.41","99,338,986.14",0,"99,338,986.14","5,775,522.45",0,"115,510,449.00",100
BE,Belgique-België,2007BE162PO003,Programme opérationnel 'Compétitivité régionale et emploi' - Wallonie (hors Hainaut ) - FEDER,ERDF,Regional Competitiveness and Employment,"282,514,931.00",0,0,"282,514,931.00","21,188,619.83",0,"21,188,619.83","247,200,564.62",0,"247,200,564.62","14,125,746.55",0,"282,514,931.00",100
RO,România,2007RO161PO002,Sectoral Operational Programme Increase of Economic Competitiveness,ERDF,Convergence,"2,554,222,109.00","17,576,055.00",0,"2,536,646,054.00","229,879,989.81",0,"229,879,989.81","2,179,933,761.49",0,"2,179,933,761.49",0,0,"2,409,813,751.30",94.35
DE,Deutschland,2007DE162PO005,Operationelles Programm EFRE Hessen 2007-2013,ERDF,Regional Competitiveness and Employment,"263,454,159.00",0,0,"263,454,159.00","19,759,061.93",0,"19,759,061.93","230,522,389.12",0,"230,522,389.12","13,172,707.95",0,"263,454,159.00",100
ES,España,2007ES161PO005,Programa Operativo FEDER de Galicia,ERDF,Convergence,"2,191,544,341.00",0,0,"2,191,544,341.00","164,365,825.58",0,"164,365,825.58","1,917,597,000.62",0,"1,917,597,000.62","109,581,514.80",0,"2,191,544,341.00",100
DE,Deutschland,2007DE051PO002,Operationelles Programm ESF Mecklenburg-Vorpommern 2007-2013,ESF,Convergence,"417,473,463.00",0,"20,405,399.10","397,068,063.90","31,310,509.73",0,"31,310,509.73","314,521,271.00",0,"314,521,271.00","51,236,283.17",0,"397,068,063.90",95.11
IT,Italy,2007IT06RPO005,Programma di Sviluppo Rurale Regione Lazio 2007-2013,EAFRD,,"315,419,000.00",0,"429,519.06","314,989,480.94","22,223,180.00",0,"22,223,180.00","277,424,870.00",0,"277,424,870.00","15,341,430.94",0,"314,989,480.94",99.86
SK,Slovenska Republica,2007SK05UPO002,OP Zamestnanosť a sociálna inklúzia,ESF,Convergence,"923,500,000.00",0,"31,620,137.13","891,879,862.87","77,760,000.00",0,"77,760,000.00","800,744,518.80",0,"800,744,518.80",0,0,"878,504,518.80",95.13
FR,France,2007FR162PO012,Programme opérationnel FEDER ILE-DE-FRANCE,ERDF,Regional Competitiveness and Employment,"151,466,770.00","758,387.00",0,"150,708,383.00","11,360,007.75",0,"11,360,007.75","131,812,956.10",0,"131,812,956.10","7,535,419.15",0,"150,708,383.00",99.5
CB,EU cross-border cooperation,2007CB163PO020,"Transnational programme ""Baltic Sea Region 2007 - 2013""",ERDF,European Territorial Cooperation,"208,034,499.00",0,"5,911,692.13","202,122,806.87","18,723,104.91",0,"18,723,104.91","178,909,669.14",0,"178,909,669.14","4,490,032.82",0,"202,122,806.87",97.16
UK,United Kingdom,2007UK14FPO001,United Kingdom Operational Programme,EFF,Non Convergence,"94,677,188.00","8,206,962.00","5,447,754.23","81,022,471.77","13,254,806.32","215,069.56","13,039,736.76","67,767,665.45",0,"67,767,665.45",0,"215,069.56","80,807,402.21",85.35
CZ,Ceska Republika,2007CZ05UPO002,OP Vzdělávání pro konkurenceschopnost,ESF,Convergence,"1,759,704,739.86","106,438,652.86","63,791,996.77","1,589,474,090.23","163,066,119.48",0,"163,066,119.48","1,407,126,190.95",0,"1,407,126,190.95","17,390,247.03",0,"1,587,582,557.46",90.22
DE,Deutschland,2007DE161PO001,Operationelles Programm EFRE Thüringen 2007 bis 2013,ERDF,Convergence,"1,477,687,909.00",0,0,"1,477,687,909.00","110,826,593.18",0,"110,826,593.18","1,292,976,920.37",0,"1,292,976,920.37","73,884,395.45",0,"1,477,687,909.00",100
CB,EU cross-border cooperation,2007CB163PO005,Programa Operativo FEDER Cooperación Transfronteriza España-Portugal,ERDF,European Territorial Cooperation,"267,405,976.00",0,0,"267,405,976.00","20,055,448.20",0,"20,055,448.20","233,980,229.00",0,"233,980,229.00","13,370,298.80",0,"267,405,976.00",100
PT,Portugal,2007PT051PO001,PRO-EMPREGO - PO para o Emprego (RAA),ESF,Convergence,"190,000,000.00",0,0,"190,000,000.00","14,250,000.00","1,195,764.92","13,054,235.08","167,445,764.92",0,"167,445,764.92","9,500,000.00","1,195,764.92","190,000,000.00",100
HR,Hrvatska,2007HR161PO002,Transport,ERDF,Convergence,"246,289,880.00","9,306,575.00","73,612,710.93","163,370,594.07","54,510,075.00",0,"54,510,075.00","95,929,280.02",0,"95,929,280.02","3,886,585.16",0,"154,325,940.18",62.66
GR,Ellada,2007GR05UPO003,Διοικητική Μεταρρύθμιση,ESF,Convergence,"354,974,207.00",0,0,"354,974,207.00","36,722,086.80",0,"36,722,086.80","318,252,120.20",0,"318,252,120.20",0,0,"354,974,207.00",100
AT,Österreich,2007AT14FPO001,Österreichisches Gemeinschaftsprogramm Europäischer Fischereifonds 2007-2013,EFF,Convergence,"187,326.00","9,821.00","17,236.00","160,269.00","13,112.82",0,"13,112.82","133,088.17",0,"133,088.17","14,068.01",0,"160,269.00",85.56
ES,España,2007ES051PO007,P.O. FSE CEUTA,ESF,Convergence,"10,249,664.00",0,322.02,"10,249,341.98","768,724.80",0,"768,724.80","8,968,456.00",0,"8,968,456.00","512,161.18",0,"10,249,341.98",100
FR,France,2007FR162PO022,Programme opérationnel FEDER RHONE-ALPES,ERDF,Regional Competitiveness and Employment,"334,049,596.00",0,0,"334,049,596.00","25,053,719.70",0,"25,053,719.70","292,293,396.50",0,"292,293,396.50","16,702,479.80",0,"334,049,596.00",100
HU,Magyarország,2007HU161PO007,Operational Programme for Transport,ERDF,Convergence,"1,361,478,657.00",0,0,"1,361,478,657.00","151,115,496.66",0,"151,115,496.66","1,142,289,227.49",0,"1,142,289,227.49","68,073,932.85",0,"1,361,478,657.00",100
CZ,Ceska Republika,2007CZ16UPO001,OP Technická pomoc,ERDF,Convergence,"173,060,075.00","29,640,540.00","8,964,194.45","134,455,340.55","21,945,159.90","7,568,950.15","14,376,209.75","112,510,180.65","16,201,438.93","96,308,741.72",0,"23,770,389.08","110,684,951.47",63.96
SK,Slovenska Republica,2007SK161PO006,OP Competitiveness and Economic Growth,ERDF,Convergence,"968,250,000.00",0,"19,373,216.45","948,876,783.55","69,480,000.00",0,"69,480,000.00","850,357,500.00",0,"850,357,500.00",0,0,"919,837,500.00",95
DE,Germany,2007DE06RPO004,Bayerisches Zukunftsprogramm Agrarwirtschaft und ländlicher Raum 2007-13,EAFRD,,"1,413,244,790.00",0,"305,129.52","1,412,939,660.48","98,880,235.30",0,"98,880,235.30","1,243,702,315.20",0,"1,243,702,315.20","70,357,109.98",0,"1,412,939,660.48",99.98
IT,Italia,2007IT052PO004,Por Lazio FSE,ESF,Regional Competitiveness and Employment,"365,247,703.00",0,0,"365,247,703.00","27,602,908.13",0,"27,602,908.13","319,382,409.72",0,"319,382,409.72","17,772,223.96",0,"364,757,541.81",99.87
